NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN
1268	green	green			Light and Colour
1269	grey	grey			Light and Colour
1270	grey hair	grey hair			N/a
1271	grey-haired	grey-haired			N/a
1272	grief, sorrow	grief, sorrow			N/a
1273	grimace	grimace			Abstract entities
1274	group of men	group of men			Human being
1275	grown-up, adult	grown-up, adult			Human being
1276	guava	guava	tropical tree or shrub of the myrtle family, Psidium guajava, with yellowish tropical fruit		N/a
1277	gubgeon	gubgeon	Gobio gobio		Artifacts
1278	guest	guest			Human being
1279	guileful, crafty person	guileful, crafty person			Human being
1280	guilt	guilt			Abstract entities
1281	guilty	guilty			Non-physical
1282	guinea fowl	guinea fowl	bird Numida meleagris		N/a
1283	guinea pig (Cavia porcellus)	guinea pig (Cavia porcellus)			N/a
1284	gulf	gulf			Natural objects
1285	gum, gingiva	gum, gingiva			Body parts
1286	hat	&lt;hat&gt;			Artifacts
1287	high rank officail in the Catholic Church	&lt;high rank officail in the Catholic Church&gt;	pope, cardinal or bishop		Body parts
1288	honorific title	&lt;honorific title&gt;			N/a
1289	horned animal	&lt;horned animal&gt;			Animals
1290	habit	habit			Abstract entities
1291	hail	hail			Natural objects
1292	hair	hair			Body parts
1293	hair (of animals)	hair (of animals)			Body parts
1294	hajji	hajji	one who has participated in a hajj		N/a
1295	half	half	one of two usually roughly equal parts into which anything may be divided, or considered as divided		N/a
1296	hammer	hammer			Artifacts
1297	hammer bone, malleus	hammer bone, malleus	a bone in the ear		N/a
1298	hand	hand			Body parts
1299	hand (of a clock)	hand (of a clock)			Artifacts
1300	hand grenade	hand grenade	small hand-held explosive device designed to be thrown at an enemy		N/a
1301	hand/arm	hand/arm			Body parts
1302	handful	handful			Abstract entities
1303	handle, gripe	handle, gripe			Artifacts
1304	handwriting	handwriting			Abstract entities
1305	happiness, luck	happiness, luck			Abstract entities
1306	happy	happy			Non-physical
1307	harbour	harbour			N/a
1308	hard	hard			Other physical
1309	hard, solid	hard, solid			Tactile quality
1310	hard-working, laborious	hard-working, laborious	a person who works a lot and likes it.		N/a
1311	hardship	hardship	difficulty or trouble; hard times		Physical effect
1312	hare (Lepus)	hare (Lepus)			Animals
1313	hare (Lepus) 	hare (Lepus)			N/a
1314	harm, damage	harm, damage			N/a
1315	harrow	harrow			N/a
1316	harvest	harvest			Natural objects
1317	harvest time	harvest time			N/a
1318	hatched egg without embryo	hatched egg without embryo			N/a
1319	having no milk	having no milk			Other physical
1320	hawk (Accipiter)	hawk (Accipiter)			Animals
1321	hawkweed (Hieracium)	hawkweed (Hieracium)			Plants
1322	hawthorn	hawthorn			Plants
1323	hay	hay	grass cut and dried for use as animal fodder		N/a
1324	haymaking (time)	haymaking (time)	season of haymaking		N/a
1325	haystack	haystack			N/a
1326	hazel grouse (Tetrastes bonasia)	hazel grouse (Tetrastes bonasia)			Animals
1327	hazy, turbid, opaque	hazy, turbid, opaque			N/a
1328	he	he	third-person singular, masculine pronoun		N/a
1329	head	head			Body parts
1330	heading, title	heading, title			Abstract entities
1331	headlight (of a car)	headlight (of a car)			Artifacts
1332	headscarf	headscarf	piece of material worn over the head, typically by women		N/a
1333	headstream	headstream			Natural objects
1334	healed	healed			N/a
1335	health	health			Abstract entities
1336	healthy	healthy			Other physical
1337	heap, pile	heap, pile			Natural objects
1338	hearing	hearing			Abstract entities
1339	heart	heart	organ that pumps blood through the body		Body parts
1340	hearts (in cards)	hearts (in cards)			N/a
1341	heat (n.)	heat (n.)			Natural objects
1342	heathen, pagan	heathen, pagan			Human being
1343	heather	heather	evergreen plant, Calluna vulgaris, with spiky leaves and small purple, pink, or white flowers		N/a
1344	heavenly body	heavenly body			N/a
1345	heavy (of weight)	heavy (of weight)			Evaluation
1346	hedgehog (Еrinaceus)	hedgehog (Еrinaceus)			Animals
1347	heel (of a foot)	heel (of a foot)			Body parts
1348	heel (of a shoe)	heel (of a shoe)			Artifacts
1349	heel (of bread)	heel (of bread)	end-piece of a loaf of bread		N/a
1350	height (of a person)	height (of a person)			Human being
1351	helicopter	helicopter	aircraft that is borne along by one or more sets of long rotating blades which allow it to hover, move in any direction including reverse, or land; and typically having a smaller set of blades on its tail that stabilize the aircraft		N/a
1352	hell	hell			Space
1353	helmet	helmet	hard, protective head covering, typically part of armour		Artifacts
1354	help, aid (n.)	help, aid (n.)			Abstract entities
1355	hem (of a skirt)	hem (of a skirt)			Natural objects
1356	hemlock (plant)	hemlock (plant)			N/a
1357	hemorrhoids	hemorrhoids			N/a
1358	hen	hen			Animals
1359	henbane	henbane			Plants
1360	hepatitis	hepatitis			Physiology
1361	her	her	belonging to that female		N/a
1362	herald, messenger	herald, messenger			Human being
1363	herbaceous plant	herbaceous plant			N/a
1364	herd	herd			N/a
1365	here	here			Space
1366	hermaphrodite	hermaphrodite			N/a
1367	hermit	hermit			N/a
1368	hernia (medical)	hernia (medical)			N/a
1369	heron	heron			Animals
1370	herring	herring			N/a
1371	Heterodon nasicus	Heterodon nasicus			N/a
1372	heterosexual	heterosexual			N/a
1373	hibiscus	hibiscus	genus of plants (Hibiscus)		N/a
1374	high (location)	high (location)			Space
1375	high (size), tall	high (size), tall	tall		Size
1376	high-pitched	high-pitched			Other physical
1377	hill	hill			Natural objects
1378	hind leg	hind leg	either of the two legs towards the rear of a four-legged animal		N/a
1379	hinge	hinge	mechanical bearing that connects two solid objects, typically allowing only a limited angle of rotation between them		N/a
1380	hip joint	hip joint			N/a
1381	hippopotamus	hippopotamus	large, semi-aquatic, herbivorous African mammal (Hippopotamus amphibius)		Animals
1382	historical tale	historical tale			N/a
1383	history	history	aggregate of past events and the branch of knowledge that studies the past		Abstract entities
1384	hoar-frost	hoar-frost			Natural objects
1385	hoarse	hoarse			Sound
1386	hoe	hoe	agricultural tool consisting of a long handle with a flat blade fixed perpendicular to it at the end, used for digging rows		N/a
1387	holiday	holiday	day on which a festival, religious event, or national celebration is traditionally observed		N/a
1388	hollow tree	hollow tree	tree with one or more natural cavities in the trunk or branch		N/a
1389	hollyhock	hollyhock	plant Alcea rosea		N/a
1390	homosexual	homosexual			N/a
1391	honest	honest			Non-physical
1392	honey	honey			Natural objects
1393	honey	honey			Natural objects
1394	honey badger	honey badger	Mellivora capensis, a badger-like mustelid native to Africa, the Middle East and the Indian subcontinent		N/a
1395	honey mushroom (Armillaria mellea)	honey mushroom (Armillaria mellea)			N/a
1396	honeycomb	honeycomb	structure of hexagonal cells made by bees primarily of wax, to hold their larvae and for storing the honey to feed the larvae and to feed themselves during winter		Natural objects
1397	honeysuckle	honeysuckle			Plants
1398	honour	honour			Abstract entities
1399	hood	hood	covering for the head attached to a larger garment such as a jacket or cloak		N/a
1400	hood (of car)	hood (of car)	hinged cover over the engine of a motor vehicle		N/a
1401	hoof	hoof	tip of a toe of an ungulate such as a horse, ox or deer, strengthened by a thick keratin covering		Body parts
1402	hook	hook			Artifacts
1403	hooligan	hooligan			Human being
1404	hoop	hoop			N/a
1405	hoopoe	hoopoe	bird of genus Upupa, especially Upupa epops (Eurasian hoopoe), known for its distinctive plumage, fanlike crest, and slender bill		N/a
1406	hope, expectation	hope, expectation			N/a
1407	horizon	horizon	visible horizontal line (in all directions) where the sky appears to meet the earth in the distance.		N/a
1408	horn	horn			Natural objects
1409	hornbeam	hornbeam	tree of the genus Carpinus, having a smooth gray bark and a ridged trunk, the wood being white and very hard		Plants
1410	horned	horned	having horns		Other physical
1411	hornet	hornet	large wasp, of the genus Vespa, having a brown-and-yellow-striped body and the ability to inflict a serious sting		N/a
1412	horse	horse	hoofed mammal, Equus ferus caballus, often used throughout history for riding and draft work		Animals
1413	horse-bird	horse-bird			N/a
1414	horse-fly (Tabanidae)	horse-fly (Tabanidae)			Animals
1415	horsehair	horsehair	hair of a horse, especially from the mane and tail, used for upholstery		N/a
1416	horsehair worm	horsehair worm	Gordius aquaticus		N/a
1417	horseman, rider	horseman, rider	man who rides a horse		Human being
1418	horseradish	horseradish	a perennial plant of the family Brassicaceae. It is a root vegetable, cultivated and used worldwide as a spice and as a condiment		N/a
1419	horseshoe	horseshoe	U-shaped shoe of a horse		Physical effect
1420	horsetail, equisetum	horsetail, equisetum	any of various simple vascular plants, of the order Equisetales, that have hollow stems and produce spores.		Plants
1421	hose	hose			Artifacts
1422	host	host			N/a
1423	hostile	hostile			Non-physical
1424	hot	hot			Tactile quality
1425	hot-tempered	hot-tempered			Non-physical
1426	hour	hour	time period of sixty minutes; one twenty-fourth of a day		Time
1427	house	house			Artifacts
1428	house	house			Artifacts
1429	house	house			Artifacts
1430	house spirit	house spirit			N/a
1431	how many?	how many?	what number		N/a
1432	hull (of a ship)	hull (of a ship)	the watertight body of a ship, boat		N/a
1433	human temper, character	human temper, character			Abstract entities
1434	human, person	human, person	None		Human being
1435	hummel, hornless	hummel, hornless	without horns		Other physical
1436	hummingbird	hummingbird			N/a
1437	humor	humor	quality of being amusing, comical, funny		N/a
1438	hump (of a person or camel)	hump (of a person or camel)			Body parts
1439	humpbacked	humpbacked			Other physical
1440	hundred	hundred	numerical value equal to 100		N/a
1441	hungry	hungry			Non-physical
1442	hunt (n.), hunting	hunt (n.), hunting			Physical effect
1443	hunt down	hunt down			N/a
1444	hunter	hunter			Human being
1445	husband	husband			Human being
1446	husband / wife	husband / wife	None		Human being
1447	husband's brother	husband&#39;s brother			N/a
1448	husband's elder brother	husband&#39;s elder brother			N/a
1449	husband's father	husband&#39;s father			Human being
1450	hybrid	hybrid	offspring resulting from cross-breeding different entities, e.g. two different species or two purebred parent strains		N/a
1451	hyena	hyena			Animals
1452	hypocrite, dissembler	hypocrite, dissembler			Human being
1453	hypotenuse	hypotenuse			N/a
1454	insect	&lt;insect&gt;			Animals
1455	I	I	first-person singular pronoun		Human being
1456	ice	ice	water in frozen (solid) form		Natural objects
1457	ice	ice			Natural objects
1458	ice-crusted ground	ice-crusted ground			Natural objects
1459	icicle	icicle	spear-shape of ice		N/a
1460	icon (christianity)	icon (christianity)	a religious work of art, most commonly a painting, in the cultures of the Eastern Orthodox, Oriental Orthodox, and Catholic churches		N/a
1461	ide (fish)	ide (fish)	freshwater fish Leuciscus idus		N/a
